Day,Hour,??? ?????? ?? ????? ??? ???? ???,??? ????? ????? ?? ????? ??? ???? ???,??? ????? ?? ????? ??? ???? ???,??? ??????? ?? ????? ??? ???? ???,??? ?????? ?? ????? ??? ???? ???,W (rial/Kw)
1397/01/01,1,107,31.8,251.8,7.8,0,382.90
1397/01/01,2,104.8,31,234.3,8.8,0,361.30
1397/01/01,3,102,33.2,225.5,9.5,0,351.20
1397/01/01,4,100.4,35.1,224.9,9.8,0,350.60
1397/01/01,5,96.8,35.7,224.9,9.6,0,347.80
1397/01/01,6,96,36.7,222.7,9.5,0,345.90
1397/01/01,7,101.2,41.6,221.5,9,0,355.20
1397/01/01,8,103.2,39.5,228.4,6.9,0,364.20
1397/01/01,9,104.5,36.9,249.3,5.9,0,384.70
1397/01/01,10,105.3,35,274.5,6.1,0,408.60
1397/01/01,11,104.3,31.6,289.2,6.1,0,419.00
1397/01/01,12,105.1,33,298.6,6.1,0,430.70
1397/01/01,13,104.3,31.8,292.9,6.2,0,422.80
1397/01/01,14,102.9,33.6,283.7,6.8,0,413.40
1397/01/01,15,103.6,31.4,289.1,6.7,0,417.40
1397/01/01,16,105.3,33.5,273.1,7.5,0,404.50
1397/01/01,17,108.9,30.5,272.5,8.5,0,403.40
1397/01/01,18,116.3,33.3,288.8,10.6,0,427.80
1397/01/01,19,112,28.7,329.2,10.1,0,459.80
1397/01/01,20,111.5,27.2,329,9,0,458.70
1397/01/01,21,116,27.8,327.9,8.5,0,463.20
1397/01/01,22,115.7,27.3,320.3,7.3,0,456.00
1397/01/01,23,106.9,27.1,305.9,6.2,0,433.60
1397/01/01,24,104.9,27.2,250.8,7.6,0,375.30
1397/01/02,1,0,0,0,0,0,0.00
1397/01/02,2,106.5,28.4,222.8,7.9,0,349.80
1397/01/02,3,102.3,32.3,213.4,9,0,338.90
1397/01/02,4,100.5,33,212.9,9.5,0,336.90
1397/01/02,5,98.1,34.7,210.3,10.3,0,332.80
1397/01/02,6,95.9,32.3,208.9,10.1,0,327.10
1397/01/02,7,97.2,36.1,208.5,10.3,0,331.50
1397/01/02,8,99.9,38.7,222.6,9.5,0,351.70
1397/01/02,9,100.6,39.1,240.7,7.4,0,372.90
1397/01/02,10,98.7,37.4,265.1,7.1,0,394.20
1397/01/02,11,98.5,31.2,285.1,7.1,0,407.70
1397/01/02,12,100.5,32.9,306.5,7.1,0,432.90
1397/01/02,13,101,32.3,302.5,6.8,0,429.00
1397/01/02,14,98.5,31.9,291.2,6.4,0,415.20
1397/01/02,15,97.3,31.4,293,6.7,0,414.90
1397/01/02,16,96.5,31.1,267.4,6.8,0,388.20
1397/01/02,17,97.9,30.3,265.1,6.9,0,386.50
1397/01/02,18,102.2,31.6,279.7,10,0,403.40
1397/01/02,19,107.7,31.9,321.2,10.1,0,450.70
1397/01/02,20,104,26.6,328.2,9.1,0,449.80
1397/01/02,21,104.4,25.7,328.6,8.8,0,449.80
1397/01/02,22,110.8,28.1,317.5,6.9,0,449.50
1397/01/02,23,110.7,27.9,306.6,5.4,0,439.80
1397/01/02,24,105.2,27.7,245.1,5.8,0,372.20
1397/01/03,1,92.3,28.9,243.5,5.9,0,358.70
1397/01/03,2,90.5,30.1,224,7.4,0,337.10
1397/01/03,3,89.7,33.8,215.4,8.9,0,329.90
1397/01/03,4,87.9,32.9,213.8,9.1,0,325.50
1397/01/03,5,87.1,37.1,214.4,9.3,0,329.10
1397/01/03,6,84.7,35.4,213.6,9.4,0,324.30
1397/01/03,7,84.6,35.8,214.6,9.5,0,325.40
1397/01/03,8,88,40.2,215.2,8.5,0,334.80
1397/01/03,9,88.8,40.5,230.4,6.9,0,352.90
1397/01/03,10,88.4,37.5,257.5,7.3,0,376.20
1397/01/03,11,89,34.9,278.8,7.1,0,395.60
1397/01/03,12,89.4,32.9,296.7,7.3,0,411.70
1397/01/03,13,90.3,33.2,294.1,7.6,0,410.00
1397/01/03,14,89.1,31.5,281.6,7.6,0,394.60
1397/01/03,15,89.6,32.5,285.5,7.5,0,400.10
1397/01/03,16,88.4,31.2,268.8,7.7,0,380.70
1397/01/03,17,89.7,32,266.5,8.1,0,380.00
1397/01/03,18,92.9,30.7,280.6,9.7,0,394.40
1397/01/03,19,97.5,30,325.4,9.9,0,443.00
