gdate,Day,Hour,jdate,D,D_hat,w,w_hat,reward_real,reward_hat,retailer_benefit,optimum_policy,consumer_cost,consume_real,consume_hat,w-price,price,,,,
3/21/2021 1:00,1400/01/01,1,1400-01-01 01:00:00,23260.7,24641.2,699.4,672.7255699,-6688521.242,-6697677.415,13208729.68,1390,26585772.17,19126.4548,19912.06434,103.47238,802.87238,,,,
3/21/2021 2:00,1400/01/01,2,1400-01-01 02:00:00,22022.9,23098.92,663,628.2924833,-6057839.103,-5880813.294,11457813.33,1290,23573491.53,18274.02444,18719.98616,139.87238,802.87238,,,,
3/21/2021 3:00,1400/01/01,3,1400-01-01 03:00:00,21286.8,22015.74,683,657.0367337,-6010753.716,-5879340.196,11563880.5,1340,23585387.93,17601.03577,17896.53423,119.87238,802.87238,,,,
3/21/2021 4:00,1400/01/01,4,1400-01-01 04:00:00,20722.3,21308.64,661.4,650.2447192,-5587270.86,-5605118.09,11465140.63,1340,22639682.35,16895.28533,17240.02648,141.47238,802.87238,,,,
3/21/2021 5:00,1400/01/01,5,1400-01-01 05:00:00,20496,21157.46,644.1,645.6477897,-5317051.824,-5507968.022,11489322.67,1340,22123426.31,16510.01964,17061.83498,158.77238,802.87238,,,,
3/21/2021 6:00,1400/01/01,6,1400-01-01 06:00:00,20542,21058.47,583.4,585.4237318,-4870631.452,-5018233.439,10128642.57,1190,19869905.48,16697.39956,17143.9358,219.47238,802.87238,,,,
3/21/2021 7:00,1400/01/01,7,1400-01-01 07:00:00,19779.1,20475.06,576,591.506854,-4514381.784,-4860554.916,10408158,1240,19436921.57,15674.93675,16434.48384,226.87238,802.87238,,,,
3/21/2021 8:00,1400/01/01,8,1400-01-01 08:00:00,19816.3,20750.86,635.9,638.4979872,-5044853.47,-5314581.867,11171823.65,1340,21261530.59,15866.81387,16647.13742,166.97238,802.87238,,,,
3/21/2021 9:00,1400/01/01,9,1400-01-01 09:00:00,20447.8,21290.06,683.1,682.0424892,-5683036.606,-5903841.55,11762080.45,1390,23128153.66,16638.95947,17312.23976,119.77238,802.87238,,,,
3/21/2021 10:00,1400/01/01,10,1400-01-01 10:00:00,21385,22011.31,680.9,688.1986878,-5819521.435,-6084745.473,12975763.61,1440,24614806.48,17093.61561,17683.10687,121.97238,802.87238,,,,
3/21/2021 11:00,1400/01/01,11,1400-01-01 11:00:00,22032.7,22778.8,687.9,693.2900403,-6086775.735,-6365333.47,13309678.82,1440,25483230.29,17696.6877,18362.68546,114.97238,802.87238,,,,
3/21/2021 12:00,1400/01/01,12,1400-01-01 12:00:00,22691.9,23300.59,708.2,693.831554,-6540667.872,-6518587.431,13517257.13,1440,26598592.87,18471.24505,18790.11525,94.67238005,802.87238,,,,
3/21/2021 13:00,1400/01/01,13,1400-01-01 13:00:00,22994.6,23524.15,708.7,692.7306369,-6634700.922,-6565850.813,13692554.77,1440,26961956.62,18723.58098,18956.4326,94.17238005,802.87238,,,,
3/21/2021 14:00,1400/01/01,14,1400-01-01 14:00:00,22787.6,23338.64,700.8,692.526656,-6468761.587,-6511264.142,13646428.55,1440,26583951.73,18461.07759,18804.37117,102.07238,802.87238,,,,
3/21/2021 15:00,1400/01/01,15,1400-01-01 15:00:00,22362.2,23149.41,704.1,692.1975706,-6391541.642,-6453976.028,13360418.96,1440,26143502.24,18155.20989,18647.78584,98.77238005,802.87238,,,,
3/21/2021 16:00,1400/01/01,16,1400-01-01 16:00:00,22260.7,22977.21,704.5,691.3587304,-6367784.539,-6394595.478,13295970.27,1440,26031539.35,18077.45788,18498.63232,98.37238005,802.87238,,,,
3/21/2021 17:00,1400/01/01,17,1400-01-01 17:00:00,22191.5,23030.6,712,692.9946803,-6446186.92,-6431683.378,13182090.11,1440,26074463.95,18107.26663,18561.99928,90.87238005,802.87238,,,,
3/21/2021 18:00,1400/01/01,18,1400-01-01 18:00:00,22798.9,23847.98,687.3,689.5626463,-6290376.102,-6611660.749,13777873.1,1440,26358625.31,18304.60091,19176.38893,115.57238,802.87238,,,,
3/21/2021 19:00,1400/01/01,19,1400-01-01 19:00:00,25177.4,26002.35,682.3,687.9169621,-6872347.572,-7183695.436,15263601.8,1440,29008296.95,20144.65066,20885.35632,120.57238,802.87238,,,,
